id,context,question,A,B,C,D,answer
0,【民航局向亿航智能无人驾驶航空器EH216-S颁发型号合格证】财联社10月13日电，中国民用航空局向亿航智能设备（广州）有限公司颁发EH216-S型无人驾驶航空器系统型号合格证（简称TC），这标志着EH216-S的型号设计符合民航局适航要求，具备载人运营的安全能力。,亿航智能无人驾驶航空器EH216-S的型号设计是否符合民航局适航要求？,是的，EH216-S的型号设计符合民航局适航要求,不是的，EH216-S的型号设计不符合民航局适航要求,没有提及EH216-S的型号设计是否符合民航局适航要求,EH216-S的型号设计通过了民航局的适航要求但没有获得型号合格证,A
1,【LME基本金属价格全线收跌】财联社 7月18日电，LME基本金属价格全线收跌，LME期铜收跌182美元，报8491美元/吨；LME期铝收跌22美元，报2255美元/吨；LME期锌收跌29美元，报2410美元/吨；LME期铅收跌23美元，报2100美元/吨；LME期镍收跌576美元，报21054美元/吨；LME期锡收跌180美元，报28363美元/吨。,关于LME基本金属价格的陈述，以下哪个选项是正确的？,LME基本金属价格全线上涨,LME期铝收跌22美元，报2255美元/吨,LME期锌收涨29美元，报2410美元/吨,LME期锡收涨180美元，报28363美元/吨,B
2,【国内商品期货收盘碳酸锂涨超5%】财联社10月13日电，国内商品期货收盘，涨多跌少。碳酸锂涨超5%，红枣涨超4%，菜籽油涨逾3%，棕榈油、尿素等涨超2%，NR、纯碱等涨逾1%，甲醇、PVC等小幅上涨；工业硅跌超1%，焦炭、沪铜等小幅下跌。,以下哪种商品期货涨幅最高？,菜籽油,棕榈油,碳酸锂,NR,C
3,【*ST天山：无未披露的重大事项】财联社10月15日电，*ST天山披露股票交易异常波动公告，经核实，除公司已于2023年10月10日发布的关于控制权拟发生变更事项外，不存在处于筹划阶段的其他重大事项。,根据*ST天山的公告，以下哪项说法是正确的？,*ST天山将控制权发生变更,*ST天山不存在重大事项,*ST天山的股票交易没有异常波动,*ST天山将有重大事项发生,B
4,【丽珠集团：获得艾拉戈利钠片药物临床试验批准通知书】财联社10月13日电，丽珠集团公告，公司全资子公司丽珠集团丽珠制药厂收到国家药品监督管理局核准签发的《药物临床试验批准通知书》，批准艾拉戈利钠片开展“评价艾拉戈利钠片治疗子宫内膜异位症中度至重度疼痛患者的疗效、安全性的多中心、随机、双盲、安慰剂平行对照期临床试验”。,丽珠集团获得的临床试验批准通知书是关于哪种药物的？,乙酰氨基酚片,氨酚那敏片,艾拉戈利钠片,阿司匹林片,C
5,【首批载有约旦援加沙医疗物资的飞机起飞】财联社10月12日电，载有首批约旦援助加沙地带医疗物资的飞机从约旦安曼机场起飞。这批救援物资包括医疗用品和药品，在飞抵埃及后，将在埃及方面的协调下，通过拉法口岸运送至加沙地带的医疗部门手中。,首批援助加沙地带的医疗物资是通过哪个口岸运送的？,拉法口岸,约旦安曼机场,加沙地带的医疗部门,埃及,A
6,【主力资金监控：长安汽车净买入超7亿元】财联社10月12日电，财联社星矿数据显示，今日早盘主力资金净流入交运设备、汽车整车、有色金属等板块，净流出计算机、电子、国防军工等板块，其中计算机板块净流出超18亿元。个股方面，长安汽车大涨，主力资金净买入7.42亿元，四川长虹、中公教育、安妮股份获主力资金净流入居前；华力创通遭净卖出超7亿元，张江高科、常山北明、科大讯飞主力资金净流出额居前。,以下哪个个股主力资金净买入金额最高？,长安汽车,四川长虹,中公教育,安妮股份,A
7,【电气线束固定不当梅赛德斯-奔驰在美召回5326辆汽车】财联社10月12日电，据美国国家公路交通安全管理局披露，梅赛德斯-奔驰美国公司将召回部分2022-2023年款AMGSL55和AMGSL63汽车，共计5326辆。召回原因为：起动机和交流发电机的电气线束可能未正确固定，从而可能导致短路和驱动力丧失，或导致线束过热。经销商将免费固定起动机和交流发电机的线束。,梅赛德斯-奔驰召回的原因是什么？,发动机故障,刹车系统问题,电气线束固定不当,安全气囊故障,C
8,【热门中概股普跌京东跌超8%】财联社10月13日电，热门中概股普跌，京东跌超8%，蔚来、微博跌超5%，爱奇艺、哔哩哔哩、唯品会、百度、小鹏汽车跌超4%，富途控股、阿里巴巴跌超3%，理想汽车跌超2%，网易、腾讯音乐跌超1%。,以下哪只股票跌幅最大？,京东,蔚来,微博,百度,A
9,【国家电投海阳核电4号机组FCD】财联社 4月22日电，国家电力投资集团有限公司发布消息， 4月22日，经国家核安全局核准，国家电投海阳核电4号机组浇筑核岛第一罐混凝土（FCD），标志着海阳核电二期工程实现重要里程碑节点，开启核电建设重大项目全新阶段。,国家电投海阳核电4号机组浇筑核岛第一罐混凝土的意义是什么？,标志着海阳核电二期工程已经完工,标志着海阳核电二期工程进入新的建设阶段,标志着国家电投成为核电建设领域的领头企业,标志着核电行业即将迎来巨大的发展机遇,B
10,【星星科技：有加工昆仑玻璃技术】财联社9月21日电，星星科技在互动平台表示，公司主要从事视窗防护屏、触控显示模组及精密结构件零部件业务与电动两轮车成品业务，公司有加工昆仑玻璃技术，目前部分零部件产品与华为有合作，但合作暂未涉及华为今年发布的新品项目。,星星科技的主要业务领域是以下哪个？,视窗防护屏、触控显示模组及精密结构件零部件业务与电动两轮车成品业务,加工昆仑玻璃技术,与华为合作新品项目,并没有提及公司的主要业务领域,A
11,财联社7月18日电，有投资者问，公司中报业绩，不管从哪个条件来看，应该都达到预报条件了吧？为什么没有预披露业绩？这算是违规了吧？全志科技在互动平台表示，公司将按照相关法律、法规及规范性文件根据《深圳证券交易所创业板股票上市规则》等有关规定，创业板上市公司半年度业绩预告不做强制性披露要求。,全志科技是否违规未预披露中报业绩？,是的，违规了,不是，符合相关规定,不论是否符合规定，都应该预披露,不论是否违规，都不需要预披露,B
12,财联社7月4日电，有投资者问，请问，公司的产品是否可延伸用于外卖或预制菜食品包装行业？万凯新材在互动平台表示，公司产品可广泛用于包括软饮料、乳制品、酒类、食用油、调味品、日化、电子产品、医疗医药、现场制作饮品、生鲜果蔬等多种领域，也有下游客户将公司产品应用到外卖或预制菜食品的情况。,万凯新材的产品是否可延伸用于外卖或预制菜食品包装行业？,可以，公司产品已经成功应用于外卖或预制菜食品行业,不可以，公司产品只适用于软饮料、乳制品、酒类等领域,可能可以，但是公司并没有明确提到是否已经成功应用于这两个行业,不确定，文中并没有提到公司产品是否适用于这两个行业,C
13,财联社6月8日电，有投资者问，2023“你好玄界”主题展览将在张家口、秦皇岛等地与观众相遇，感谢贵司的奋力拼搏默默耕耘！请问，其中脑机互动功能是不是意味着贵司已完全掌握脑机技术？开始赚钱啦？华如科技在互动平台表示，公司在脑机方面的应用目前主要涉及文化展览领域，使用市场成熟的脑机交互产品，实现交互控制多形式的艺术创作。在脑机智能方面暂无相关技术储备。,华如科技是否已完全掌握脑机技术？,是的，华如科技已完全掌握脑机技术,不是，华如科技在脑机方面的应用主要涉及文化展览领域,是的，华如科技已经开始在脑机智能方面进行相关技术储备,不是，华如科技目前还没有使用市场成熟的脑机交互产品,B
14,【依米康：公司在数据中心能源领域是华为生态合作伙伴之一】财联社10月13日电，依米康在互动平台表示，公司液冷项目目前正常推进中。华为一直是公司重要客户，公司在数据中心能源领域是华为生态合作伙伴之一。目前在液冷方面，公司暂未与华为合作。,依米康目前在液冷方面是否与华为合作？,是的，公司已与华为合作,是的，公司计划与华为合作,不是的，公司没有与华为合作,不是的，公司目前正在与华为合作,C
15,2023年10月12日，财联社电，工商银行控股股东中央汇金投资有限责任公司发布增持方案。中央汇金投资有限责任公司拟于未来7月内本次增持计划未设定价格区间，中央汇金投资有限责任公司将根据二级市场股价波动，逐步实施增持计划。,中央汇金投资有限责任公司的增持计划是根据二级市场股价波动来实施的吗？,是的，在未来7个月内，中央汇金投资有限责任公司将根据股价波动逐步实施增持计划。,不是的，中央汇金投资有限责任公司已经确定了价格区间，并将在未来7个月内按照该价格区间实施增持计划。,是的，中央汇金投资有限责任公司将根据公司的盈利状况逐步实施增持计划。,不是的，中央汇金投资有限责任公司并没有发布任何增持计划。,A
16,【安硕信息：公司目前主营业务不涉及互联网金融概念】财联社8月16日电，安硕信息披露关于股票交易异常波动的公告，公司已于2021年12月15日清算注销了西昌安硕易民互联网金融服务股份有限公司，公司参股公司江西联合互联网金融信息服务有限公司已无实际业务，公司目前主营业务不涉及互联网金融概念。,安硕信息目前主营业务是否涉及互联网金融概念？,是,否,无法确定,不在资讯内容中提及,B
17,【上交所发布2023年重阳节期间沪港通下港股通交易日安排】财联社10月12日电，上交所公告，将2023年重阳节期间沪港通下港股通交易日安排通知如下，一、10月23日（星期一）不提供港股通服务，10月24日（星期二）起照常开通港股通服务。二、港股通交易的清算交收事宜，根据中国证券登记结算有限责任公司的安排进行。,2023年重阳节期间，上交所是否提供港股通服务？,是,否,无法确定,不在资讯内容中提及,B
18,【扬子新材：公司不直接从事注射笔业务】财联社10月12日电，扬子新材发布股票交易异动公告，近日投资者在公司互动易平台上对苏州翰尔西医疗器械开发有限公司（简称“翰尔西”）及其产品注射笔有较多关注，公司也于互动易平台上及时回复了投资者对上述事项的提问；公司不直接从事注射笔业务。,扬子新材是否直接从事注射笔业务?,是,否,无法确定,不在资讯内容中提及,B
19,【约旦国王与美国国务卿举行会谈】财联社10月13日电，约旦国王阿卜杜拉二世在约旦首都安曼与到访的美国国务卿布林肯举行会谈。阿卜杜拉二世强调了为加沙地带开放紧急人道主义走廊运送医疗和救援物资的必要性，并强调应尽快阻止巴以冲突升级，以及保护平民免受波及的重要性。当天，约旦副首相兼外交与侨务大臣萨法迪也会见了布林肯，双方讨论了阻止巴以冲突升级以及向加沙地带提供人道主义援助的必要性。,关于约旦国王与美国国务卿会谈的描述，以下哪项是正确的？,阿卜杜拉二世强调了加沙地带需要紧急人道主义援助。,布林肯强调了加沙地带需要紧急人道主义援助。,阿卜杜拉二世强调了加沙地带需要紧急军事援助。,布林肯强调了加沙地带需要紧急军事援助。,A
20,【山西证券：向专业投资者公开发行次级公司债券获证监会同意注册批复】财联社10月12日电，山西证券公告，公司于2023年10月12日收到中国证券监督管理委员会出具的《关于同意山西证券股份有限公司向专业投资者公开发行次级公司债券注册的批复》，批复同意公司向专业投资者公开发行面值总额不超过40亿元次级公司债券的注册申请。批复自同意注册之日起24个月内有效，公司在注册有效期内可以分期发行次级公司债券。,山西证券的次级公司债券发行获得了谁的批复?,中国证券监督管理委员会,山西证券股份有限公司,专业投资者,财联社,A
21,"""【ChatGPT概念股继续活跃 初灵信息（300250.SZ）涨超17%】财联社 2月2日电，初灵信息涨超17%， 慧博云通（301316.SZ）胀超10%， 汉王科技（002362.SZ）4连板， 彩讯股份（300634.SZ）、 荣信文化（301231.SZ）、 云从科技（688327.SH）、 科大讯飞（002230.SZ）、 科大国创（300520.SZ）等跟涨。""",以下哪只股票涨幅最高？,初灵信息,慧博云通,汉王科技,彩讯股份,A
22,【郑商所发布短纤、纯碱、锰硅、硅铁、尿素及苹果期权合约的公告】财联社10月13日电，《郑州商品交易所涤纶短纤期权合约》《郑州商品交易所纯碱期权合约》《郑州商品交易所锰硅期权合约》《郑州商品交易所硅铁期权合约》《郑州商品交易所尿素期权合约》《郑州商品交易所鲜苹果期权合约》已经郑州商品交易所第八届理事会第四次会议审议通过，现予发布，自2023年10月20日起施行。,以下哪个是郑商所发布的期权合约之一？,大豆期权合约,棉花期权合约,纯碱期权合约,菜籽油期权合约,C
