id,question,A,B,C,D,answer
0,综合板块近期看好吗,板块,综合,综合板块,近期,B
1,卓翼科技这个股票怎么样,这个,卓翼,卓翼科技,科技,C
2,猪肉基金,猪,猪肉基金,猪肉,猪肉,C
3,中邮尊佑一年定期开放债券怎么样,开放,中邮尊佑一年定期开放债券,定期,债券,B
4,中邮悦享6个月持有期混合A怎么样,怎么样,持有,混合,中邮悦享6个月持有期混合A,D
5,中银证券成长领航A重仓哪些股票,中银,中银证券成长领航A,成长,证券,B
6,中融融信C怎么样,怎么样,中融融,中融融信C,融融,C
7,中欧骏盈B重仓哪些股票,股票,中欧,中欧骏盈B,哪些,C
8,中欧多元价值C评测,价值,评测,中欧,中欧多元价值C,D
9,中科沃土基金的基金可以买吗,基金,沃土,中科,中科沃土基金,D
10,中恒电气这个股票怎么样,股票,中恒电气,这个,电气,B
11,智能家居板块怎么样,智能家居,家居,板块,智能,A
12,这个货币板块的基金可以买吗,这个,货币板块,板块,货币,B
13,这个湖南国企改革板块的基金可以买吗,国企,湖南国企改革板块,湖南,改革,B
14,招商稳乐C重仓哪些股票,股票,哪些,招商稳乐C,招商,C
15,招商高端装备A重仓哪些股票,装备,招商高端装备A,哪些,招商,B
16,长信利息A怎么样,长信,长信利息A,怎么样,利息,B
17,长信利息A评测,长信利息A,长信,评测,利息,A
18,云南旅游相关的基金是哪些,相关,云南,云南旅游,旅游,C
19,云计算板块怎么样,计算,板块,怎么样,云计算,D
20,粤开证券怎么样,粤开证券,证券,粤开,怎么样,A
21,圆信永丰基金的基金可以买吗,基金,可以,圆信永丰基金,信永丰,C
22,宇顺电子这个股票怎么样,这个,电子,宇顺,宇顺电子,D
23,宇环数控这个股票怎么样,宇环数控,宇环,数控,这个,A
24,有哪些基金是专注于投资量子通信技术的呢？我想要投资一下。,量子,哪些,通信,量子通信,D
25,有哪些基金是专注于投资江阴银行的呢？,江阴,银行,哪些,江阴银行,D
26,永赢开泰C评测,永赢开泰C,赢开,评测,永赢,A
27,央企创新重仓哪些股票,股票,创新,央企创新,哪些,C
28,兴证全球基金怎么样,基金,怎么样,全球,兴证全球基金,D
29,兴银丰运C评测,评测,兴银丰运C,银丰,兴银丰,B
30,信达澳亚基金怎么样,信达澳亚基金,基金,信达,怎么样,A
31,西部利得汇享债券C评测,西部,评测,债券,西部利得汇享债券C,D
32,西部个股A重仓哪些股票,西部个股A,哪些,股票,西部,A
33,武商集团这个股票怎么样,武商,武商集团,集团,这个,B
34,无锡贝斯特精机相关的基金是哪些,贝斯特,无锡贝斯特精机,相关,无锡,B
35,我想知道国元证券股份有限公司参与管理的基金名单是哪些。,证券,国元证券股份有限公司,股份,有限公司,B
36,我想要一些重仓跨国汇款的基金，你能帮我找找吗？,支付,跨境支付,跨境,跨国,B
37,我想要购买一些重仓电子消费品的基金，你能不能给我一些建议呢？,电子,消费,消费电子,购买,C
38,我希望找到一些以宝能财团为核心投资策略的基金，您有何推荐？,希望,财团,宝能系,核心,C
39,我希望投资一些含职业培训的基金，您能否提供一些建议呢？,希望,教育,职业教育,职业,C
40,我希望投资一些含半导体元件的基金，您能否提供一些建议呢？,芯片,希望,半导体,芯片半导体,D
41,我希望投资一些含半导体元件的基金，您能否提供一些建议呢？,芯片,希望,半导体,芯片半导体,D
42,我对浙江国企产权重组很感兴趣，你能不能给我介绍一些相关的基金呢？,国企,改革,浙江国企改革,浙江,C
43,我对土地污染治理很感兴趣，你能不能给我介绍一些相关的基金呢？,土壤,修复,土壤修复,土地,C
44,我对化学制剂很感兴趣，你知道有哪些基金是投资化学制剂的吗？,化学,制品,制剂,化学制品,D
45,我对半导体装置很感兴趣，你知道有哪些基金是投资半导体装置的吗？,半导体,半导体设备,设备,装置,B
46,卫，士，通相关的基金是哪些,基金,卫 士 通,相关,哪些,B
47,王霞管理的基金名单是怎样的？能否提供一下？,名单,基金,王霞,管理,C
48,万家新能源C重仓哪些股票,股票,哪些,万家新能源C,能源,C
49,万家创新A怎么样,创新a,万家创新A,怎么样,创新,B
50,万孚生物相关的基金是哪些,生物,基金,万孚生物,相关,C
51,外债登记证是什么,外债,外债登记证,登记证,什么,B
52,投资万民远管理的较偏爱热门股的基金,管理,万民远,万民,投资,B
53,铜牛信息相关的基金是哪些,相关,信息,铜牛信息,基金,C
54,天弘创业板300C怎么样,天弘,天弘创业板300C,怎么样,创业,B
55,泰达宏利新兴景气龙头A怎么样,泰达,景气,新兴,泰达宏利新兴景气龙头A,D
56,斯莱克这个股票怎么样,斯莱,这个,股票,斯莱克,D
57,双枪科技这个股票怎么样,双枪科技,股票,这个,科技,A
58,沈化工这个股票怎么样,沈化工,化工,股票,这个,A
59,什么是B标法,是b,B标法,什么是,什么,B
60,什么是修改权,什么,修改,修改权,什么是,C
61,什么是限度地？,限度,限度地,什么,什么是,B
62,什么是绿色化工,绿色化工,什么,化工,绿色,A
63,什么是结算会员制度,制度,结算会员制度,会员,结算,B
64,什么是航空公共关系,关系,航空公共关系,公共,航空,B
65,什么是城镇体系规划,城镇,城镇体系规划,规划,体系,B
66,深圳市瑞凌实业相关的基金是哪些,瑞凌,深圳市瑞凌实业,实业,深圳市,B
67,深圳市科陆电子科技相关的基金是哪些,科技,电子,深圳市科陆电子科技,深圳市,C
68,申万宏源证券的基金可以买吗,申万宏源证券,申万宏,证券,基金,A
69,社会服务板块近期看好吗,服务,社会服务,社会,板块,B
70,尚正基金怎么样,尚正,基金,怎么样,尚正基金,D
71,山东威达这个股票怎么样,山东,山东威达,这个,威达,
72,融通创业板ETF联接C评测,融通创业板ETF联接C,融通,etf,创业,
73,请问有哪些优质的基金是以蜀企改良为投资标的的？,改革,国企,四川,四川国企改革,
74,请问有哪些基金专注于投资烟草相关行业？,相关,烟草,烟草相关,请问,
75,请问有哪些基金专注于投资电源设备？,电源设备,电源,请问,设备,
76,请问有哪些基金是专门投资特大电压的呢？,特高压,请问,哪些,基金,
77,请问您是否了解哪些基金是以知识产权保护为核心投资策略的？,产权,知识,请问,知识产权,
78,请问您是否了解哪些基金是以银行为核心投资策略的？,请问,是否,银行,了解,
79,请问您是否了解哪些基金是以山东央企改革为核心投资策略的？,国企,改革,山东国企改革,山东,
80,请问你能不能给我推荐一些以锂电池聚合物电解质为主要投资对象的基金呢？,电池,锂电池,不能,请问,
81,请问你能不能给我推荐一些以核能发电为主要投资对象的基金呢？,核电,请问,推荐,不能,
82,轻工制造板块近期看好吗,轻工,板块,制造,轻工制造,
83,前海大海洋评测,海大,海洋,评测,前海大海洋,
84,千红制药相关的基金是哪些,制药,相关,千红制药,基金,
85,平安证券的基金可以买吗,平安证券,基金,平安,证券,
86,平安均衡优选1年持有期混合A怎么样,均衡,平安均衡优选1年持有期混合A,优选,平安,
87,鹏扬数字经济先锋C怎么样,经济,先锋,数字,鹏扬数字经济先锋C,
88,鹏华兴华重仓哪些股票,兴华,哪些,股票,鹏华兴华,
89,诺安基金怎么样,诺安基金,诺安,基金,怎么样,
90,宁波江丰电子材料相关的基金是哪些,宁波江丰电子材料,江丰,宁波,电子,
91,您知道哪些基金是以宠物贸易为主要投资方向的吗？我想要了解一下。,经济,宠物经济,宠物,知道,
92,您知道哪些基金是以5G产业生态为主要投资方向的吗？我想要了解一下。,哪些,5G产业链,产业链,知道,
93,您是否知道有哪些优质的基金是重仓工业智能化网络的呢？,是否,工业互联网,互联网,工业,
94,您是否知道有哪些优质的基金是重仓工业智能化网络的呢？,是否,工业互联网,互联网,工业,
